Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate
H,left,Distractor,0,0,0,0,211.2098464,213.1529134,None,0,1,,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
Q,left,Pretarget,0,1,1,1,214.6515817,216.6551214,left,1,1,0.513677062,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
Q,right,Target,0,2,2,2,218.1517136,220.1513472,right,1,1,0.409653245,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
T,left,Distractor,0,3,3,3,221.6516196,223.6536275,left,1,1,0.347501436,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
Q,left,Lure,0,4,4,4,225.1516719,227.1536958,left,1,1,0.431120336,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
L,left,Distractor,0,5,5,5,228.6516821,230.6534667,left,1,1,0.387343729,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
V,left,Pretarget,0,6,6,6,232.1515548,234.1530962,left,1,1,0.535808853,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
V,right,Target,0,7,7,7,235.6516731,237.6516789,left,0,1,0.4134201,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
K,left,Distractor,0,8,8,8,239.1517216,241.1547596,left,1,1,0.478284609,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
G,left,Pretarget,0,9,9,9,242.6516058,244.653648,left,1,1,0.547226188,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
G,right,Target,0,10,10,10,246.1514383,248.15155,right,1,1,0.48934874,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
G,right,Target,0,11,11,11,249.6516109,251.6513815,right,1,1,0.381727774,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
P,left,Pretarget,0,12,12,12,253.1516703,255.1534828,left,1,1,0.511600191,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
P,right,Target,0,13,13,13,256.6516988,258.6515041,left,0,1,0.51727357,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
G,left,Lure,0,14,14,14,260.1515034,262.1538126,left,1,1,0.375142677,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
Y,left,Distractor,0,15,15,15,263.6516523,265.6541831,left,1,1,0.442946051,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
B,left,Distractor,0,16,16,16,267.1515878,269.1530125,left,1,1,0.623919299,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
T,left,Pretarget,0,17,17,17,270.6515628,272.653408,left,1,1,0.483424495,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
T,right,Target,0,18,18,18,274.1515743,276.1516491,right,1,1,0.585182167,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
S,left,Distractor,0,19,19,19,277.6517347,279.6532136,left,1,1,0.523696342,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
T,left,Lure,0,20,20,20,281.1514739,283.1536278,left,1,1,0.847520363,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
J,left,Distractor,0,21,21,21,284.6514149,286.6533987,left,1,1,0.499274667,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
P,left,Distractor,0,22,22,22,288.1512442,290.1522329,left,1,1,0.424720662,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
F,left,Distractor,0,23,23,23,291.6516125,293.653699,left,1,1,0.523126919,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
L,left,Distractor,0,24,24,24,295.1515856,297.1533468,left,1,1,0.639619657,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
W,left,Pretarget,0,25,25,25,298.6512776,300.6539454,left,1,1,0.434799932,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
W,right,Target,0,26,26,26,302.1516205,304.1512667,right,1,1,0.441657711,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
V,left,Distractor,0,27,27,27,305.651412,307.6521454,left,1,1,0.540731235,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
W,left,Lure,0,28,28,28,309.1515679,311.152112,left,1,1,0.416883796,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
R,left,Pretarget,0,29,29,29,312.6515156,314.6531482,left,1,1,0.435494789,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
R,right,Target,0,30,30,30,316.1514024,318.1515721,right,1,1,0.473321164,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
G,left,Distractor,0,31,31,31,319.6515259,321.6528704,left,1,1,0.619926601,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
R,left,Lure,0,32,32,32,323.1515275,325.1523337,left,1,1,0.528596589,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
S,left,Distractor,0,33,33,33,326.6514374,328.6517825,left,1,1,0.565278664,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
R,left,Lure,0,34,34,34,330.1515423,332.1529095,left,1,1,0.519895804,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
P,left,Pretarget,0,35,35,35,333.6515634,335.6535678,left,1,1,0.555203565,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
P,right,Target,0,36,36,36,337.1515929,339.1515901,right,1,1,0.401202686,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
Y,left,Pretarget,0,37,37,37,340.6515634,342.6522836,left,1,1,0.468466151,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
Y,right,Target,0,38,38,38,344.1513446,346.1514066,right,1,1,0.489388841,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
J,left,Distractor,0,39,39,39,347.651498,349.6521454,left,1,1,0.380915183,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
Y,left,Lure,0,40,40,40,351.1514916,353.1536615,left,1,1,0.399113625,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
T,left,Distractor,0,41,41,41,354.6514078,356.6523038,left,1,1,0.404385681,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
V,left,Distractor,0,42,42,42,358.1515429,360.1537369,left,1,1,0.566953891,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
N,left,Pretarget,0,43,43,43,361.6514893,363.6529724,left,1,1,0.363801693,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
N,right,Target,0,44,44,44,365.151411,367.1511974,right,1,1,0.465707576,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
N,right,Target,0,45,45,45,368.6514633,370.6513116,right,1,1,0.469353488,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
X,left,Distractor,0,46,46,46,372.1514563,374.1533641,left,1,1,0.439508018,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
Z,left,Distractor,0,47,47,47,375.6514909,377.6535505,left,1,1,0.42745261,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
H,left,Pretarget,0,48,48,48,379.1512959,381.1533898,left,1,1,0.383354239,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
H,right,Target,0,49,49,49,382.651097,384.6514017,right,1,1,0.389246405,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
K,left,Distractor,0,50,50,50,386.1513841,388.1515179,left,1,1,0.489283938,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
