Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate
H,left,Distractor,0,0,0,0,297.1855411,299.1808205,None,0,1,,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
Q,left,Pretarget,0,1,1,1,300.6790025,302.6812128,left,1,1,0.566532443,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
Q,right,Target,0,2,2,2,304.1782191,306.1783676,right,1,1,0.794494457,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
T,left,Distractor,0,3,3,3,307.6780468,309.6796986,left,1,1,1.341147432,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
Q,left,Lure,0,4,4,4,311.1772265,313.1779804,left,1,1,1.192577857,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
L,left,Distractor,0,5,5,5,314.6765737,316.6786538,left,1,1,0.821708746,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
V,left,Pretarget,0,6,6,6,318.1757701,320.1776657,left,1,1,0.676854381,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
V,right,Target,0,7,7,7,321.6754935,323.6753681,right,1,1,0.826841581,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
K,left,Distractor,0,8,8,8,325.1750001,327.1764813,left,1,1,0.761319665,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
G,left,Pretarget,0,9,9,9,328.6741734,330.6765997,left,1,1,0.766063687,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
G,right,Target,0,10,10,10,332.1736608,334.1734818,right,1,1,0.680570553,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
G,right,Target,0,11,11,11,335.6732114,337.6728222,right,1,1,0.625029754,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
P,left,Pretarget,0,12,12,12,339.1725823,341.1740599,left,1,1,0.612410681,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
P,right,Target,0,13,13,13,342.671999,344.6717161,left,0,1,0.648446066,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
G,left,Lure,0,14,14,14,346.1717495,348.1711874,left,1,1,1.180219275,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
Y,left,Distractor,0,15,15,15,349.6708499,351.6740182,left,1,1,0.87219242,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
B,left,Distractor,0,16,16,16,353.1703636,355.1720346,left,1,1,1.311815528,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
T,left,Pretarget,0,17,17,17,356.6696633,358.6722303,left,1,1,0.638977591,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
T,right,Target,0,18,18,18,360.1691044,362.1687718,None,0,1,,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
S,left,Distractor,0,19,19,19,363.6677911,365.6703662,left,1,1,0.818252103,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
T,left,Lure,0,20,20,20,367.1677375,369.1690313,left,1,1,1.016145973,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
J,left,Distractor,0,21,21,21,370.6671857,372.6693367,left,1,1,0.723608088,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
P,left,Distractor,0,22,22,22,374.1667886,376.1682168,left,1,1,0.79108401,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
F,left,Distractor,0,23,23,23,377.6661162,379.6679342,left,1,1,0.816641355,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
L,left,Distractor,0,24,24,24,381.1655076,383.1674632,left,1,1,0.920254358,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
