Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,3438.8224481953075,3440.823254371062,left,1,1.1910803526407108,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
F,left,Distractor,0,1,1,1,3442.324128236156,3444.3254387129564,left,1,0.5367783635156229,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
G,left,Distractor,0,2,2,2,3445.8241391434567,3447.825868908665,left,1,0.4924723773729056,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
V,left,Distractor,0,3,3,3,3449.324316226295,3451.324827264063,left,1,0.4815785775426775,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
H,left,Distractor,0,4,4,4,3452.8241195745068,3454.825986001524,left,1,0.5002450929023325,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
C,left,Pretarget,0,5,5,5,3456.324176035705,3458.3254419210134,left,1,0.5367854211945087,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
C,right,Target,0,6,6,6,3459.824304998154,3461.823938962887,right,1,0.49434842832852155,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
C,right,Target,0,7,7,7,3463.324122461723,3465.3242196647916,right,1,0.4821861768141389,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
W,left,Distractor,0,8,8,8,3466.82409551437,3468.826271515456,left,1,0.6441008010879159,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
R,left,Pretarget,0,9,9,9,3470.324197529466,3472.3233384212945,left,1,0.667140812263824,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
R,right,Target,0,10,10,10,3473.8241481259465,3475.8241070632357,right,1,0.6061518305214122,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
Z,left,Distractor,0,11,11,11,3477.324174752459,3479.326065239613,left,1,0.5283788006054237,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
R,left,Lure,0,12,12,12,3480.824130160967,3482.825781650492,left,1,0.4204522925429046,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
H,left,Pretarget,0,13,13,13,3484.3242270431947,3486.3263533199206,left,1,0.5039105783216655,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
H,right,Target,0,14,14,14,3487.8240396947367,3489.824178602081,right,1,0.6220639385282993,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
K,left,Distractor,0,15,15,15,3491.3241590332473,3493.326063956367,left,1,0.5445716105168685,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
J,left,Distractor,0,16,16,16,3494.824223835254,3496.826223074342,left,1,0.7401502508437261,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
H,left,Lure,0,17,17,17,3498.32408492791,3500.3260039663874,left,1,0.5042814256157726,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
S,left,Distractor,0,18,18,18,3501.8241776396753,3503.826309049269,left,1,0.571947262622416,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
T,left,Pretarget,0,19,19,19,3505.3241304818075,3507.3257274349453,left,1,0.5927747013047338,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
T,right,Target,0,20,20,20,3508.8241907926276,3510.8242222311674,right,1,0.5982058818917722,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
X,left,Pretarget,0,21,21,21,3512.323274581693,3514.326303595677,left,1,0.6800117157399654,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
X,right,Target,0,22,22,22,3515.8241237449693,3517.8242318553384,right,1,0.7823180907871574,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
W,left,Distractor,0,23,23,23,3519.3240589429624,3521.3257668935694,left,1,0.6882858449826017,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
K,left,Distractor,0,24,24,24,3522.8242142111994,3524.824257840286,left,1,0.6302091053221375,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
F,left,Pretarget,0,25,25,25,3526.324145880295,3528.326618302497,left,1,0.6475648229243234,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
F,right,Target,0,26,26,26,3529.8241574291606,3531.824020125903,right,1,0.4622293954016641,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
Z,left,Distractor,0,27,27,27,3533.324341890402,3535.3245196148055,left,1,0.6735250960336998,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
F,left,Lure,0,28,28,28,3536.824156146031,3538.823374992702,left,1,0.6628584242425859,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
P,left,Distractor,0,29,29,29,3540.323287092964,3542.326305841212,left,1,0.5039676810847595,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
F,left,Lure,0,30,30,30,3543.824179243762,3545.826467525563,left,1,0.6198491202667356,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
R,left,Distractor,0,31,31,31,3547.324183093384,3549.326417801203,left,1,0.6876708673080429,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
V,left,Distractor,0,32,32,32,3550.824232817744,3552.826086733374,left,1,0.4841927944216877,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
M,left,Pretarget,0,33,33,33,3554.324219343951,3556.3258329788223,left,1,0.5684659176040441,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
M,right,Target,0,34,34,34,3557.824162241188,3559.82415422122,right,1,0.5901765245944262,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
M,right,Target,0,35,35,35,3561.3242543113884,3563.3243479856756,right,1,0.6099366544513032,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
D,left,Distractor,0,36,36,36,3564.8241952838143,3566.8262869139435,left,1,0.5000080200843513,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
M,left,Lure,0,37,37,37,3568.324255273794,3570.323516466422,left,1,0.6508716514799744,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
F,left,Distractor,0,38,38,38,3571.824320717482,3573.8263000667794,left,1,0.4922051491448656,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
T,left,Pretarget,0,39,39,39,3575.324152937974,3577.3263138612965,left,1,0.5604092922294512,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
T,right,Target,0,40,40,40,3578.824140747427,3580.8242222311674,right,1,0.5821856636321172,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
Z,left,Distractor,0,41,41,41,3582.324152617133,3584.325603284524,left,1,0.5366846893448383,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
S,left,Distractor,0,42,42,42,3585.824099363992,3587.826089941431,left,1,0.5723030323861167,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
D,left,Distractor,0,43,43,43,3589.3242430833634,3591.3260825629113,left,1,0.5446688134688884,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
Y,left,Pretarget,0,44,44,44,3592.824152617133,3594.825942693162,left,1,0.5647247228771448,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
Y,right,Target,0,45,45,45,3596.324209399172,3598.3242568778805,right,1,0.49015201535075903,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
Z,left,Pretarget,0,46,46,46,3599.8242700307164,3601.825664236909,left,1,0.5407742753159255,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
Z,right,Target,0,47,47,47,3603.324102572049,3605.324079795042,right,1,0.4667308912612498,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
H,left,Pretarget,0,48,48,48,3606.82427612599,3608.826013590442,left,1,0.6446702250977978,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
H,right,Target,0,49,49,49,3610.3241859806003,3612.3241978503065,right,1,0.45811222051270306,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
Z,left,Lure,0,50,50,50,3613.8242802964523,3615.8267495105974,left,1,0.5556559666292742,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
R,left,Distractor,0,51,51,51,3617.3242036247393,3619.326130683301,left,1,0.5445741768926382,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
H,left,Lure,0,52,52,52,3620.8242334593087,3622.8261082271347,left,1,0.4041972471168265,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
L,left,Distractor,0,53,53,53,3624.324263293878,3626.3261579514947,left,1,0.5361460625426844,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
N,left,Pretarget,0,54,54,54,3627.824249178637,3629.8263565279776,left,1,0.45989555958658457,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
N,right,Target,0,55,55,55,3631.3241211785935,3633.324188546976,right,1,0.45012713386677206,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
W,left,Distractor,0,56,56,56,3634.8241096296115,3636.826294613187,left,1,0.5480086847674102,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
R,left,Pretarget,0,57,57,57,3638.3243919356028,3640.3265137210255,left,1,0.5838393988087773,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
R,right,Target,0,58,58,58,3641.8241718652425,3643.824241479393,right,1,0.7340582179604098,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
Q,left,Distractor,0,59,59,59,3645.3242116447072,3647.3260151945287,left,1,0.6561052179895341,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
R,left,Lure,0,60,60,60,3648.823177699349,3650.8233265515883,left,1,0.695143953547813,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
Z,left,Distractor,0,61,61,61,3652.3241750732996,3654.3258355453145,left,1,0.5045165736228228,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
K,left,Pretarget,0,62,62,62,3655.8242713139625,3657.826343695866,left,1,0.6200188247021288,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
K,right,Target,0,63,63,63,3659.324284787639,3661.324215494329,right,1,0.4499471638118848,0,3.0,D09A11,2022-12-06_14h41.05.665,t1_Paradigm,2021.1.4,60.00508193125537,
