vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
0,0,0,0,0,2445.974048,VS1rightbutton,0,1,4,2,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
1,0,1,1,1,2463.368514,VS1rightbutton,0,1,3,1,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
2,0,2,2,2,2468.218735,VS1leftbutton,1,0,2,4,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
3,0,3,3,3,2473.93445,VS1leftbutton,1,0,1,3,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
4,0,4,4,4,2477.53779,VS1leftbutton,1,0,3,4,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
5,0,5,5,5,2484.036246,VS1leftbutton,1,0,1,2,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
6,0,6,6,6,2489.352231,VS1rightbutton,0,1,4,3,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
7,0,7,7,7,2493.513046,VS1leftbutton,1,0,2,4,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
8,0,8,8,8,2497.051734,VS1rightbutton,0,1,3,2,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
9,0,9,9,9,2503.104969,VS1leftbutton,1,0,1,4,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
10,0,10,10,10,2506.537901,VS1leftbutton,1,0,1,4,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
11,0,11,11,11,2510.28683,VS1rightbutton,0,1,2,1,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
12,0,12,12,12,2513.285839,VS1leftbutton,1,0,2,3,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
13,0,13,13,13,2516.489873,VS1rightbutton,0,1,2,1,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
14,0,14,14,14,2518.936728,VS1rightbutton,0,1,3,1,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
15,0,15,15,15,2521.203236,VS1rightbutton,0,1,4,1,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
16,0,16,16,16,2523.939698,VS1rightbutton,0,1,3,2,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
17,0,17,17,17,2526.578347,VS1rightbutton,0,1,4,3,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
