Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
0,0,0,0,0,2654.183198,EDrightbutton,0,1,1,2,2,3,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
1,0,1,1,1,2659.642228,EDrightbutton,0,1,1.5,2,2,3,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
2,0,2,2,2,2662.179203,EDleftbutton,1,0,1.75,2,2,3,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
3,0,3,3,3,2665.932365,EDleftbutton,1,0,1.62,2,2,3,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
4,0,4,4,4,2668.741072,EDleftbutton,1,0,1.56,2,2,3,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
5,0,5,5,5,2674.487763,EDleftbutton,1,0,1.53,2,2,3,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
0,0,0,0,0,2676.660552,EDleftbutton,1,0,1,2,2,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
1,0,1,1,1,2680.42367,EDrightbutton,0,1,0.5,2,2,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
2,0,2,2,2,2686.891522,EDrightbutton,0,1,0.75,2,2,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
3,0,3,3,3,2688.714019,EDrightbutton,0,1,0.88,2,2,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
4,0,4,4,4,2690.881339,EDrightbutton,0,1,0.94,2,2,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
5,0,5,5,5,2693.789859,EDrightbutton,0,1,0.97,2,2,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
0,0,0,0,0,2696.253377,EDrightbutton,0,1,1,2,1,2,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
1,0,1,1,1,2699.418988,EDrightbutton,0,1,1.5,2,1,2,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
2,0,2,2,2,2701.270837,EDrightbutton,0,1,1.75,2,1,2,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
3,0,3,3,3,2703.295427,EDrightbutton,0,1,1.88,2,1,2,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
