Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate
S,left,Distractor,0,42,42,42,2843.378007,2845.378975,left,1,0.523379588,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
D,left,Distractor,0,43,43,43,2846.878305,2848.880319,left,1,0.430015222,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
Y,left,Pretarget,0,44,44,44,2850.37831,2852.379225,left,1,0.483056027,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
Y,right,Target,0,45,45,45,2853.87839,2855.878433,right,1,0.79155071,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
Z,left,Pretarget,0,46,46,46,2857.37844,2859.380064,left,1,0.522319015,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
Z,right,Target,0,47,47,47,2860.878194,2862.878451,left,0,0.863910547,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
H,left,Pretarget,0,48,48,48,2864.378484,2866.378363,left,1,0.56402363,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
H,right,Target,0,49,49,49,2867.878504,2869.878545,right,1,0.663852161,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
Z,left,Lure,0,50,50,50,2871.378079,2873.379086,left,1,0.939258979,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
R,left,Distractor,0,51,51,51,2874.878121,2876.878661,left,1,0.943879494,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
H,left,Lure,0,52,52,52,2878.378126,2880.380386,left,1,0.914073114,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
L,left,Distractor,0,53,53,53,2881.878029,2883.8913,left,1,0.667175352,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
N,left,Pretarget,0,54,54,54,2885.378523,2887.379048,left,1,0.651175018,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
N,right,Target,0,55,55,55,2888.87815,2890.878399,right,1,0.495940087,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
W,left,Distractor,0,56,56,56,2892.378562,2894.379973,left,1,0.642648415,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
R,left,Pretarget,0,57,57,57,2895.878441,2897.879958,left,1,0.694378742,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
R,right,Target,0,58,58,58,2899.378389,2901.37812,right,1,0.572000699,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
Q,left,Distractor,0,59,59,59,2902.878076,2904.878621,left,1,0.67143721,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
R,left,Lure,0,60,60,60,2906.378546,2908.391295,left,1,0.551148552,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
Z,left,Distractor,0,61,61,61,2909.878294,2911.880262,left,1,0.66210796,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
K,left,Pretarget,0,62,62,62,2913.37856,2915.380169,left,1,0.634014343,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
K,right,Target,0,63,63,63,2916.878382,2918.878175,left,0,1.312069383,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
