Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
P,left,Pretarget,0,52,52,52,2719.6913957761135,2721.69194787601,left,1,3,3.0,0.6571620593313128,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
L,right,Target,0,53,53,53,2723.19146667351,2725.1936352932826,right,1,3,3.0,0.3873026669025421,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
V,left,Distractor,0,54,54,54,2726.6913890393917,2728.7075811869,left,1,3,3.0,0.6014288510195911,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
F,left,Distractor,0,55,55,55,2730.1914191946853,2732.192515374394,left,1,3,3.0,0.732512294780463,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
P,right,Target,0,56,56,56,2733.691479184665,2735.6927348026074,right,1,3,3.0,0.6723613254725933,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
T,left,Pretarget,0,57,57,57,2737.1916533799376,2739.19051421294,left,1,3,3.0,0.5826869714073837,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
D,left,Distractor,0,58,58,58,2740.691522813635,2742.693387313513,left,1,3,3.0,0.5995152685791254,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
V,left,Distractor,0,59,59,59,2744.1912318465766,2746.190860358067,left,1,3,3.0,0.5262845703400671,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
Z,left,Distractor,0,60,60,60,2747.6913874354213,2749.692580497125,left,1,3,3.0,0.5284936113748699,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
T,right,Target,0,61,61,61,2751.191531796241,2753.1916960466187,right,1,3,3.0,0.6296703121624887,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
B,left,Distractor,0,62,62,62,2754.6914541621227,2756.6932464814745,left,1,3,3.0,0.7118773637339473,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
J,left,Distractor,0,63,63,63,2758.1914894504007,2760.1914310643915,left,1,3,3.0,0.8457918830681592,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
