Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate
H,left,Distractor,0,0,0,0,242.9570817,244.8918591,None,0,1,,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
Q,left,Pretarget,0,1,1,1,246.3926335,248.3925045,left,1,1,0.469456066,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
Q,right,Target,0,2,2,2,249.8907834,251.8907433,right,1,1,1.067139487,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
T,left,Distractor,0,3,3,3,253.3904148,255.3912017,left,1,1,0.526951907,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
Q,left,Lure,0,4,4,4,256.8902583,258.8907799,left,1,1,1.267134547,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
L,left,Distractor,0,5,5,5,260.3904876,262.3916322,left,1,1,0.822398564,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
V,left,Pretarget,0,6,6,6,263.8905803,265.8920172,left,1,1,0.617980599,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
V,right,Target,0,7,7,7,267.3902669,269.3906291,right,1,1,0.943471379,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
K,left,Distractor,0,8,8,8,270.8906541,272.8912524,left,1,1,0.818662176,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
G,left,Pretarget,0,9,9,9,274.3908444,276.3913554,left,1,1,0.630814306,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
G,right,Target,0,10,10,10,277.8907058,279.8904648,right,1,1,0.971545774,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
G,right,Target,0,11,11,11,281.3904305,283.3904546,right,1,1,0.751544504,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
P,left,Pretarget,0,12,12,12,284.890844,286.8920746,left,1,1,0.562074014,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
P,right,Target,0,13,13,13,288.3904033,290.3904934,left,0,1,0.567425322,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
G,left,Lure,0,14,14,14,291.8904963,293.8905473,right,0,1,1.227729084,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
Y,left,Distractor,0,15,15,15,295.3904732,297.3920701,left,1,1,0.685996839,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
B,left,Distractor,0,16,16,16,298.8907709,300.891067,None,0,1,,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
T,left,Pretarget,0,17,17,17,302.3904495,304.3909332,left,1,1,0.903078486,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
T,right,Target,0,18,18,18,305.8904931,307.8907244,right,1,1,0.763507553,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
S,left,Distractor,0,19,19,19,309.3907828,311.3922504,left,1,1,1.149807743,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
T,left,Lure,0,20,20,20,312.8908973,314.8911209,left,1,1,0.834880029,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
J,left,Distractor,0,21,21,21,316.3905133,318.3924878,left,1,1,0.757712575,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
P,left,Distractor,0,22,22,22,319.890435,321.8907706,left,1,1,0.811319326,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
F,left,Distractor,0,23,23,23,323.390367,325.3916727,left,1,1,0.734426158,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
L,left,Distractor,0,24,24,24,326.890573,328.8916412,left,1,1,0.562558426,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
W,left,Pretarget,0,25,25,25,330.3907645,332.4034702,left,1,1,0.618789984,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
