Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
D,left,Distractor,0,35,35,35,3006.8460542988905,3008.8479736557347,left,1,2,1.47,0.5055152236600406,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
R,right,Target,0,36,36,36,3010.3461665794894,3012.3481648535817,right,1,2,1.47,0.7813707217283081,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
T,left,Distractor,0,37,37,37,3013.845945547102,3015.84796403168,left,1,2,1.47,0.6415451095381286,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
G,left,Distractor,0,38,38,38,3017.346025105944,3019.348112562904,left,1,2,1.47,0.6136892521753907,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
K,left,Pretarget,0,39,39,39,3020.8460850958654,3022.847902116948,left,1,2,1.47,0.6016899835958611,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
R,left,Lure,0,40,40,40,3024.3460247851326,3026.347697766236,right,0,2,1.47,0.7982827482628636,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
Q,left,Pretarget,0,41,41,41,3027.8460331259703,3029.847539610986,left,1,2,1.47,0.7698465605208185,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
K,right,Target,0,42,42,42,3031.345998158591,3033.348011831142,right,1,2,1.47,0.6934319050051272,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
Z,left,Distractor,0,43,43,43,3034.8460680933786,3036.8479261770844,left,1,2,1.47,0.6494650630629621,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
Q,right,Target,0,44,44,44,3038.345816263987,3040.3479864878173,right,1,2,1.47,0.861675739986822,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
W,left,Distractor,0,45,45,45,3041.846003291401,3043.847314728948,left,1,2,1.47,0.6100375658716075,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
X,left,Distractor,0,46,46,46,3045.34604018362,3047.3480904275784,left,1,2,1.47,0.9973078317416366,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
R,left,Distractor,0,47,47,47,3048.8459821185097,3050.8476429091534,left,1,2,1.47,0.5216964638093486,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
P,left,Pretarget,0,48,48,48,3052.3451101793326,3054.347842447838,left,1,2,1.47,0.62163037864957,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
