vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
0,0,0,0,0,2425.141246,VS1leftbutton,1,0,1,2,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
1,0,1,1,1,2428.102748,VS1rightbutton,0,1,4,1,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
2,0,2,2,2,2431.132602,VS1leftbutton,1,0,1,3,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
3,0,3,3,3,2433.717241,VS1rightbutton,0,1,2,1,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
4,0,4,4,4,2436.210385,VS1rightbutton,0,1,3,1,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
5,0,5,5,5,2438.093591,VS1rightbutton,0,1,4,1,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
6,0,6,6,6,2440.294051,VS1rightbutton,0,1,4,3,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
7,0,7,7,7,2443.226753,VS1leftbutton,1,0,2,4,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
8,0,8,8,8,2446.006041,VS1leftbutton,1,0,3,4,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
9,0,9,9,9,2448.376543,VS1leftbutton,1,0,1,4,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
10,0,10,10,10,2449.877468,VS1leftbutton,1,0,2,4,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
11,0,11,11,11,2451.650132,VS1rightbutton,0,1,3,2,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
12,0,12,12,12,2453.798938,VS1rightbutton,0,1,3,1,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
13,0,13,13,13,2455.944958,VS1leftbutton,1,0,2,3,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
14,0,14,14,14,2457.852123,VS1rightbutton,0,1,4,2,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
15,0,15,15,15,2460.123884,VS1leftbutton,1,0,1,2,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
16,0,16,16,16,2461.856484,VS1leftbutton,1,0,3,4,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
17,0,17,17,17,2463.753099,VS1rightbutton,0,1,3,2,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
