Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate
F,left,Distractor,0,0,0,0,2653.105498,2655.111777,left,1,0.890239004,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
P,left,Pretarget,0,1,1,1,2656.610972,2658.61162,left,1,0.942687017,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
B,left,Distractor,0,2,2,2,2660.11096,2662.110665,left,1,0.803407372,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
K,left,Pretarget,0,3,3,3,2663.610874,2665.610686,left,1,0.871566691,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
H,left,Distractor,0,4,4,4,2667.094503,2669.094234,left,1,1.003864388,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
P,right,Target,0,5,5,5,2670.594312,2672.594142,left,0,1.104010289,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
L,left,Distractor,0,6,6,6,2674.094148,2676.094029,left,1,0.932313224,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
K,right,Target,0,7,7,7,2677.594205,2679.595233,right,1,1.063134267,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
Z,left,Pretarget,0,8,8,8,2681.094271,2683.095859,left,1,0.650379734,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
S,left,Pretarget,0,9,9,9,2684.610809,2686.611594,left,1,0.862768359,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
N,left,Distractor,0,10,10,10,2688.110955,2690.111029,left,1,1.011068651,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
M,left,Distractor,0,11,11,11,2691.61096,2693.611212,left,1,0.887002106,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
Z,right,Target,0,12,12,12,2695.111134,2697.111561,right,1,0.98673321,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
S,right,Target,0,13,13,13,2698.610967,2700.611911,left,0,0.910305526,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
Q,left,Distractor,0,14,14,14,2702.111048,2704.09574,left,1,0.850426443,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
V,left,Lure,0,15,15,15,2705.610944,2707.595112,right,0,0.999235848,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
Z,right,Target,0,16,16,16,2709.094352,2711.0942,left,0,0.956101697,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
X,left,Distractor,0,17,17,17,2712.594408,2714.596074,left,1,0.734189406,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
V,left,Pretarget,0,18,18,18,2716.111177,2718.111828,right,0,1.282663957,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
E,left,Distractor,0,19,19,19,2719.611006,2721.596164,left,1,0.758229067,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
R,left,Distractor,0,20,20,20,2723.11098,2725.111695,None,0,,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
G,left,Distractor,0,21,21,21,2726.610944,2728.611822,left,1,0.862600259,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
V,right,Target,0,22,22,22,2730.111082,2732.111854,right,1,0.834416791,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
T,left,Pretarget,0,23,23,23,2733.611052,2735.611265,left,1,1.031226281,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
B,left,Distractor,0,24,24,24,2737.094672,2739.094761,right,0,1.067531187,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
S,left,Pretarget,0,25,25,25,2740.594357,2742.596181,left,1,0.798306932,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
G,left,Lure,0,26,26,26,2744.111087,2746.096496,right,0,0.801822608,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
T,right,Target,0,27,27,27,2747.611056,2749.611426,left,0,0.615108775,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
H,left,Distractor,0,28,28,28,2751.094272,2753.094124,left,1,0.812198646,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
S,right,Target,0,29,29,29,2754.594349,2756.594698,right,1,0.527474815,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
D,left,Distractor,0,30,30,30,2758.094799,2760.094367,left,1,0.516414505,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
Z,left,Distractor,0,31,31,31,2761.594381,2763.595353,left,1,1.079127558,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
J,left,Pretarget,0,32,32,32,2765.094466,2767.094751,right,0,1.003572137,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
C,left,Pretarget,0,33,33,33,2768.594367,2770.595351,left,1,0.943304241,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
