Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate
X,left,Distractor,0,31,31,31,2733.432454,2735.433818,left,1,2,3,0.725185504,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
W,left,Distractor,0,32,32,32,2736.931858,2738.933426,left,1,2,3,0.521305086,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
R,right,Target,0,33,33,33,2740.432261,2742.431623,right,1,2,3,0.559343832,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
S,left,Distractor,0,34,34,34,2743.931686,2745.933135,left,1,2,3,0.801528941,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
D,left,Distractor,0,35,35,35,2747.432309,2749.433735,left,1,2,3,0.46912219,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
R,right,Target,0,36,36,36,2750.932222,2752.933406,right,1,2,3,0.617372056,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
T,left,Distractor,0,37,37,37,2754.432239,2756.433055,left,1,2,3,0.637811619,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
G,left,Distractor,0,38,38,38,2757.931736,2759.931549,left,1,2,3,0.819125879,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
K,left,Pretarget,0,39,39,39,2761.43225,2763.43313,left,1,2,3,0.821716033,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
R,left,Lure,0,40,40,40,2764.93212,2766.933618,left,1,2,3,0.841034072,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
Q,left,Pretarget,0,41,41,41,2768.432258,2770.433828,left,1,2,3,0.813171478,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
K,right,Target,0,42,42,42,2771.931688,2773.933455,right,1,2,3,0.433381667,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
Z,left,Distractor,0,43,43,43,2775.432441,2777.433262,left,1,2,3,0.59771525,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
Q,right,Target,0,44,44,44,2778.931746,2780.933381,right,1,2,3,0.649348612,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
W,left,Distractor,0,45,45,45,2782.43208,2784.434263,left,1,2,3,0.8925096,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
X,left,Distractor,0,46,46,46,2785.931617,2787.932969,left,1,2,3,0.705785018,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
R,left,Distractor,0,47,47,47,2789.432353,2791.432284,left,1,2,3,0.550516651,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
P,left,Pretarget,0,48,48,48,2792.931683,2794.932527,left,1,2,3,0.522280323,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
Z,left,Pretarget,0,49,49,49,2796.432299,2798.433266,left,1,2,3,0.717532136,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
V,left,Distractor,0,50,50,50,2799.931835,2801.933286,left,1,2,3,0.737301865,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
P,right,Target,0,51,51,51,2803.432177,2805.43425,right,1,2,3,0.452534173,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
Z,right,Target,0,52,52,52,2806.932018,2808.933573,right,1,2,3,1.001153603,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
H,left,Distractor,0,53,53,53,2810.432274,2812.438648,left,1,2,3,1.01606511,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
