Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
B,left,Pretarget,0,46,46,46,3055.983200863344,3057.9835534251433,left,1,0.717114549541293,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
W,left,Distractor,0,47,47,47,3059.483461675667,3061.4833747382254,left,1,0.6411289805164415,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
B,right,Target,0,48,48,48,3062.9832736854805,3064.9854814473583,right,1,0.6591984945371223,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
R,left,Pretarget,0,49,49,49,3066.4832117706246,3068.4861785508965,left,1,0.5503480064053292,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
N,left,Distractor,0,50,50,50,3069.983521986511,3071.984220052458,left,1,0.7486702741971385,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
R,right,Target,0,51,51,51,3073.483303520101,3075.482868832896,left,0,0.5936062805412803,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
V,left,Distractor,0,52,52,52,3076.9834809238073,3078.985235391943,right,0,0.8033901752351085,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
G,left,Distractor,0,53,53,53,3080.483367680574,3082.485819252248,left,1,0.5507246283814311,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
H,left,Distractor,0,54,54,54,3083.9830978857844,3085.9836509490615,left,1,0.5891349371740944,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
V,left,Lure,0,55,55,55,3087.482985284154,3089.4835515003288,right,0,0.7049596687265876,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
L,left,Distractor,0,56,56,56,3090.98347707418,3092.984216202829,left,1,1.1562666817226273,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
K,left,Distractor,0,57,57,57,3094.483210487415,3096.4834825278194,left,1,0.6973287428645563,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
D,left,Pretarget,0,58,58,58,3097.9831812943994,3099.984124774155,left,1,0.7005720547767851,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
T,left,Pretarget,0,59,59,59,3101.4834000816118,3103.4917146373136,left,1,0.552873683427606,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
D,right,Target,0,60,60,60,3104.9835033799736,3106.984153325566,right,1,0.8685316619103105,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
T,right,Target,0,61,61,61,3108.4832582869676,3110.4828053140263,left,0,1.0660769463720499,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
T,left,Lure,0,62,62,62,3111.9832409636383,3113.9833519612566,left,1,0.6533874804954394,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
F,left,Distractor,0,63,63,63,3115.483548613107,3117.4830847328867,left,1,0.6414619733714062,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
