Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate
T,left,Distractor,0,0,0,0,2899.114479,2901.106402,left,1,0.501426925,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
F,left,Distractor,0,1,1,1,2902.604613,2904.605548,left,1,0.63974051,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
G,left,Distractor,0,2,2,2,2906.103976,2908.105725,left,1,0.531723102,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
V,left,Distractor,0,3,3,3,2909.603486,2911.604809,left,1,0.620795896,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
H,left,Distractor,0,4,4,4,2913.102946,2915.10461,left,1,0.668660448,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
C,left,Pretarget,0,5,5,5,2916.601523,2918.60362,left,1,0.537600828,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
C,right,Target,0,6,6,6,2920.101687,2922.101347,right,1,0.534323199,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
C,right,Target,0,7,7,7,2923.6011,2925.600852,right,1,0.561987199,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
W,left,Distractor,0,8,8,8,2927.100506,2929.101252,left,1,0.613299085,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
R,left,Pretarget,0,9,9,9,2930.599911,2932.601688,left,1,0.717082875,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
R,right,Target,0,10,10,10,2934.09934,2936.099155,right,1,0.636821537,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
Z,left,Distractor,0,11,11,11,2937.598791,2939.599721,left,1,0.72860382,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
R,left,Lure,0,12,12,12,2941.098178,2943.099316,left,1,1.020713193,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
H,left,Pretarget,0,13,13,13,2944.597482,2946.599303,left,1,0.607393449,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
H,right,Target,0,14,14,14,2948.097055,2950.096596,right,1,0.6332369,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
K,left,Distractor,0,15,15,15,2951.596436,2953.598365,left,1,0.593300316,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
J,left,Distractor,0,16,16,16,2955.095858,2957.09665,left,1,0.638116292,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
H,left,Lure,0,17,17,17,2958.595121,2960.596415,left,1,1.12636469,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
S,left,Distractor,0,18,18,18,2962.094575,2964.095985,left,1,0.677158481,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
T,left,Pretarget,0,19,19,19,2965.593977,2967.595479,left,1,0.749166237,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
T,right,Target,0,20,20,20,2969.093412,2971.093234,right,1,0.496939232,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
X,left,Pretarget,0,21,21,21,2972.592819,2974.59363,left,1,0.57623175,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
X,right,Target,0,22,22,22,2976.092347,2978.092009,right,1,0.535624049,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
W,left,Distractor,0,23,23,23,2979.591722,2981.592722,left,1,0.717143185,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
K,left,Distractor,0,24,24,24,2983.09115,2985.092626,left,1,0.650446941,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
F,left,Pretarget,0,25,25,25,2986.590519,2988.592152,left,1,0.527277114,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
F,right,Target,0,26,26,26,2990.089923,2992.089458,right,1,0.622187533,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
Z,left,Distractor,0,27,27,27,2993.58934,2995.590874,left,1,0.627689921,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
F,left,Lure,0,28,28,28,2997.105332,2999.106834,left,1,0.809756666,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
P,left,Distractor,0,29,29,29,3000.604811,3002.606489,left,1,0.59694398,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
F,left,Lure,0,30,30,30,3004.104297,3006.105185,left,1,0.816560866,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
R,left,Distractor,0,31,31,31,3007.603696,3009.604614,left,1,0.530379264,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
V,left,Distractor,0,32,32,32,3011.103038,3013.103902,left,1,0.692842789,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
M,left,Pretarget,0,33,33,33,3014.602384,3016.60413,left,1,0.650298089,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
M,right,Target,0,34,34,34,3018.101217,3020.101471,right,1,0.721091931,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
M,right,Target,0,35,35,35,3021.601655,3023.600964,right,1,0.695690865,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
D,left,Distractor,0,36,36,36,3025.100729,3027.101627,left,1,0.669062413,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
M,left,Lure,0,37,37,37,3028.600129,3030.60163,left,1,0.553739391,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
F,left,Distractor,0,38,38,38,3032.099408,3034.10082,left,1,0.578063526,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
T,left,Pretarget,0,39,39,39,3035.599068,3037.600771,left,1,0.552038181,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
T,right,Target,0,40,40,40,3039.098236,3041.097929,right,1,0.574164504,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
Z,left,Distractor,0,41,41,41,3042.59769,3044.598946,left,1,0.555393123,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
S,left,Distractor,0,42,42,42,3046.097082,3048.098361,left,1,0.46490367,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
D,left,Distractor,0,43,43,43,3049.596614,3051.597533,left,1,0.627395746,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
Y,left,Pretarget,0,44,44,44,3053.095923,3055.097749,left,1,0.593114893,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
Y,right,Target,0,45,45,45,3056.595355,3058.594975,right,1,0.688344189,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
Z,left,Pretarget,0,46,46,46,3060.094809,3062.095779,left,1,0.60885887,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
Z,right,Target,0,47,47,47,3063.594097,3065.593872,right,1,0.613919836,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
H,left,Pretarget,0,48,48,48,3067.093613,3069.094397,left,1,0.489517168,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
H,right,Target,0,49,49,49,3070.593046,3072.592731,right,1,0.677122551,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
Z,left,Lure,0,50,50,50,3074.092494,3076.093655,left,1,0.70348506,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
R,left,Distractor,0,51,51,51,3077.591752,3079.592554,left,1,0.621870581,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
H,left,Lure,0,52,52,52,3081.091261,3083.092191,left,1,0.91878941,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
L,left,Distractor,0,53,53,53,3084.590628,3086.591464,left,1,0.636756735,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
N,left,Pretarget,0,54,54,54,3088.090089,3090.09127,left,1,0.566244235,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
N,right,Target,0,55,55,55,3091.589377,3093.589479,right,1,0.705566741,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
W,left,Distractor,0,56,56,56,3095.088765,3097.090165,left,1,0.654596829,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
R,left,Pretarget,0,57,57,57,3098.604972,3100.606248,left,1,0.535161453,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
R,right,Target,0,58,58,58,3102.10427,3104.103998,right,1,0.691358761,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
Q,left,Distractor,0,59,59,59,3105.603664,3107.604395,left,1,0.546853065,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
R,left,Lure,0,60,60,60,3109.103052,3111.104717,left,1,0.66727651,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
Z,left,Distractor,0,61,61,61,3112.602699,3114.602804,left,1,0.635453318,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
K,left,Pretarget,0,62,62,62,3116.101934,3118.102994,left,1,0.666481243,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
K,right,Target,0,63,63,63,3119.601391,3121.60105,right,1,0.463309928,0,1.47,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
