Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.strat,EDrightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
0,0,0,0,0,1403.7862540124333,EDrightbutton,0,1,1.00,2.00,1,2,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
1,0,1,1,1,1408.8812252461212,EDrightbutton,0,1,1.50,2.00,1,2,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
2,0,2,2,2,1411.5207684109919,EDrightbutton,0,1,1.75,2.00,1,2,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
3,0,3,3,3,1413.1868332528393,EDrightbutton,0,1,1.88,2.00,1,2,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
4,0,4,4,4,1414.7891739537008,EDrightbutton,0,1,1.94,2.00,1,2,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
5,0,5,5,5,1416.31484197604,EDrightbutton,0,1,1.97,2.00,1,2,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
0,0,0,0,0,1417.8910796468263,EDleftbutton,1,0,2.00,1.00,1,3,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
1,0,1,1,1,1422.4964532113518,EDleftbutton,1,0,2.00,1.50,1,3,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
2,0,2,2,2,1424.1160812989692,EDrightbutton,0,1,2.00,1.75,1,3,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
3,0,3,3,3,1429.7544416663004,EDleftbutton,1,0,2.00,1.62,1,3,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
4,0,4,4,4,1431.380731852376,EDleftbutton,1,0,2.00,1.68,1,3,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
5,0,5,5,5,1433.230066797405,EDleftbutton,1,0,2.00,1.71,1,3,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
0,0,0,0,0,1435.0820034479839,EDleftbutton,1,0,2.00,1.00,2,3,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
1,0,1,1,1,1440.146777253598,EDrightbutton,0,1,2.00,1.50,2,3,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
2,0,2,2,2,1443.3256796353962,EDleftbutton,1,0,2.00,1.25,2,3,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
3,0,3,3,3,1444.984711210709,EDleftbutton,1,0,2.00,1.38,2,3,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
4,0,4,4,4,1446.4478295488516,EDleftbutton,1,0,2.00,1.44,2,3,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
5,0,5,5,5,1447.8783839013777,EDleftbutton,1,0,2.00,1.47,2,3,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
