vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.strat,VS1rightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
0,0,0,0,0,1161.04122210185,VS1leftbutton,1,0,3,2,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
1,0,1,1,1,1167.593342651564,VS1leftbutton,1,0,3,2,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
2,0,2,2,2,1172.0272296785533,VS1leftbutton,1,0,3,1,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
3,0,3,3,3,1177.9463731242304,VS1rightbutton,0,1,2,1,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
4,0,4,4,4,1183.1782427554076,VS1leftbutton,1,0,3,1,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
5,0,5,5,5,1191.0102387184343,VS1leftbutton,1,0,1,2,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
6,0,6,6,6,1195.8459906319385,VS1leftbutton,1,0,3,2,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
7,0,7,7,7,1198.6084662229118,VS1rightbutton,0,1,2,1,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
8,0,8,8,8,1202.7316972000717,VS1rightbutton,0,1,1,3,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
