vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.strat,VS1rightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B02R06,2022-11-11_14h54.15.617,t2_paradigm,2021.1.4,60.003426364933205,
0,0,0,0,0,1246.3414392605637,VS1rightbutton,0,1,2,3,B02R06,2022-11-11_14h54.15.617,t2_paradigm,2021.1.4,60.003426364933205,
1,0,1,1,1,1261.6587294814808,VS1rightbutton,0,1,2,1,B02R06,2022-11-11_14h54.15.617,t2_paradigm,2021.1.4,60.003426364933205,
2,0,2,2,2,1266.9612984026608,VS1leftbutton,1,0,2,3,B02R06,2022-11-11_14h54.15.617,t2_paradigm,2021.1.4,60.003426364933205,
3,0,3,3,3,1280.8472278184408,VS1leftbutton,1,0,1,3,B02R06,2022-11-11_14h54.15.617,t2_paradigm,2021.1.4,60.003426364933205,
4,0,4,4,4,1285.4447049003202,VS1rightbutton,0,1,3,1,B02R06,2022-11-11_14h54.15.617,t2_paradigm,2021.1.4,60.003426364933205,
5,0,5,5,5,1289.4141840840966,VS1rightbutton,0,1,3,1,B02R06,2022-11-11_14h54.15.617,t2_paradigm,2021.1.4,60.003426364933205,
6,0,6,6,6,1292.3286260932946,VS1leftbutton,1,0,1,2,B02R06,2022-11-11_14h54.15.617,t2_paradigm,2021.1.4,60.003426364933205,
7,0,7,7,7,1295.8120264957088,VS1leftbutton,1,0,2,3,B02R06,2022-11-11_14h54.15.617,t2_paradigm,2021.1.4,60.003426364933205,
8,0,8,8,8,1305.1130828337373,VS1rightbutton,0,1,2,1,B02R06,2022-11-11_14h54.15.617,t2_paradigm,2021.1.4,60.003426364933205,
