vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.strat,VS1rightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
0,0,0,0,0,1380.045752177044,VS1rightbutton,0,1,2,1,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
1,0,1,1,1,1385.4339136111594,VS1rightbutton,0,1,2,3,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
2,0,2,2,2,1390.439228663041,VS1rightbutton,0,1,3,1,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
3,0,3,3,3,1394.1550690767472,VS1rightbutton,0,1,2,3,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
4,0,4,4,4,1398.7549985002497,VS1rightbutton,0,1,3,1,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
5,0,5,5,5,1402.1606824747323,VS1rightbutton,0,1,2,3,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
6,0,6,6,6,1406.0193748526308,VS1leftbutton,1,0,1,2,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
7,0,7,7,7,1410.3063565364264,VS1leftbutton,1,0,1,3,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
8,0,8,8,8,1413.7746761902163,VS1rightbutton,0,1,2,1,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
