vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.strat,VS1rightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B02L10,2022-11-24_09h41.34.839,t2_paradigm,2021.1.4,59.6856786171122,
0,0,0,0,0,1299.3596223780896,VS1rightbutton,0,1,1,2,B02L10,2022-11-24_09h41.34.839,t2_paradigm,2021.1.4,59.6856786171122,
1,0,1,1,1,1354.6586777458688,VS1leftbutton,1,0,3,1,B02L10,2022-11-24_09h41.34.839,t2_paradigm,2021.1.4,59.6856786171122,
2,0,2,2,2,1360.2181739206317,VS1leftbutton,1,0,2,1,B02L10,2022-11-24_09h41.34.839,t2_paradigm,2021.1.4,59.6856786171122,
3,0,3,3,3,1363.1393853827421,VS1rightbutton,0,1,3,2,B02L10,2022-11-24_09h41.34.839,t2_paradigm,2021.1.4,59.6856786171122,
4,0,4,4,4,1365.724168097442,VS1rightbutton,0,1,1,3,B02L10,2022-11-24_09h41.34.839,t2_paradigm,2021.1.4,59.6856786171122,
5,0,5,5,5,1370.600997628635,VS1rightbutton,0,1,3,2,B02L10,2022-11-24_09h41.34.839,t2_paradigm,2021.1.4,59.6856786171122,
6,0,6,6,6,1372.6677304445802,VS1rightbutton,0,1,1,3,B02L10,2022-11-24_09h41.34.839,t2_paradigm,2021.1.4,59.6856786171122,
7,0,7,7,7,1376.4829898190428,VS1leftbutton,1,0,2,1,B02L10,2022-11-24_09h41.34.839,t2_paradigm,2021.1.4,59.6856786171122,
8,0,8,8,8,1379.050658092283,VS1rightbutton,0,1,3,2,B02L10,2022-11-24_09h41.34.839,t2_paradigm,2021.1.4,59.6856786171122,
