vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.strat,VS1rightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
0,0,0,0,0,1207.7794576723354,VS1rightbutton,0,1,3,1,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
1,0,1,1,1,1212.0601768963293,VS1rightbutton,0,1,3,2,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
2,0,2,2,2,1219.1439326984246,VS1leftbutton,1,0,1,2,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
3,0,3,3,3,1222.8167271003113,VS1rightbutton,0,1,3,2,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
4,0,4,4,4,1228.0272167940834,VS1leftbutton,1,0,1,2,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
5,0,5,5,5,1232.6444461411274,VS1rightbutton,0,1,2,1,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
6,0,6,6,6,1237.7098771234246,VS1rightbutton,0,1,3,1,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
7,0,7,7,7,1241.7112530407967,VS1leftbutton,1,0,2,3,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
8,0,8,8,8,1246.1106912533169,VS1rightbutton,0,1,3,1,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
