vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.strat,VS1rightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
0,0,0,0,0,1365.7111832844093,VS1rightbutton,0,1,3,1,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
1,0,1,1,1,1378.1775353299454,VS1leftbutton,1,0,1,2,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
2,0,2,2,2,1383.7027535715024,VS1rightbutton,0,1,3,1,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
3,0,3,3,3,1389.6096430501202,VS1leftbutton,1,0,1,2,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
4,0,4,4,4,1398.5953339997795,VS1rightbutton,0,1,2,3,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
5,0,5,5,5,1405.378399698704,VS1rightbutton,0,1,1,2,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
6,0,6,6,6,1413.978163652646,VS1leftbutton,1,0,3,2,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
7,0,7,7,7,1420.4593287283205,VS1rightbutton,0,1,3,1,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
8,0,8,8,8,1433.9777093970915,VS1leftbutton,1,0,3,2,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
