vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.strat,VS1rightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
0,0,0,0,0,1182.101946435022,VS1leftbutton,1,0,3,1,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
1,0,1,1,1,1225.2315899660784,VS1rightbutton,0,1,1,2,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
2,0,2,2,2,1228.2754651150108,VS1leftbutton,1,0,3,1,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
3,0,3,3,3,1233.9131578930487,VS1leftbutton,1,0,2,1,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
4,0,4,4,4,1237.0946914941874,VS1rightbutton,0,1,3,2,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
5,0,5,5,5,1241.4298402469408,VS1leftbutton,1,0,2,3,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
6,0,6,6,6,1245.62992038332,VS1rightbutton,0,1,1,3,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
7,0,7,7,7,1249.144521052,VS1leftbutton,1,0,2,3,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
8,0,8,8,8,1253.058479025634,VS1leftbutton,1,0,2,1,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
