vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.strat,VS1rightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B25R08,2022-12-09_11h13.20.846,t2_paradigm,2021.1.4,59.96879575044744,
0,0,0,0,0,1295.9223042335634,VS1rightbutton,0,1,3,2,B25R08,2022-12-09_11h13.20.846,t2_paradigm,2021.1.4,59.96879575044744,
1,0,1,1,1,1302.2225851922758,VS1leftbutton,1,0,1,3,B25R08,2022-12-09_11h13.20.846,t2_paradigm,2021.1.4,59.96879575044744,
2,0,2,2,2,1312.9191902050043,VS1rightbutton,0,1,3,1,B25R08,2022-12-09_11h13.20.846,t2_paradigm,2021.1.4,59.96879575044744,
3,0,3,3,3,1318.9694118152784,VS1rightbutton,0,1,3,2,B25R08,2022-12-09_11h13.20.846,t2_paradigm,2021.1.4,59.96879575044744,
4,0,4,4,4,1326.2531550912609,VS1rightbutton,0,1,3,2,B25R08,2022-12-09_11h13.20.846,t2_paradigm,2021.1.4,59.96879575044744,
5,0,5,5,5,1329.220359786268,VS1rightbutton,0,1,2,1,B25R08,2022-12-09_11h13.20.846,t2_paradigm,2021.1.4,59.96879575044744,
6,0,6,6,6,1332.0299116125316,VS1rightbutton,0,1,2,1,B25R08,2022-12-09_11h13.20.846,t2_paradigm,2021.1.4,59.96879575044744,
7,0,7,7,7,1338.8858347790829,VS1rightbutton,0,1,3,1,B25R08,2022-12-09_11h13.20.846,t2_paradigm,2021.1.4,59.96879575044744,
8,0,8,8,8,1341.9045410857998,VS1leftbutton,1,0,1,2,B25R08,2022-12-09_11h13.20.846,t2_paradigm,2021.1.4,59.96879575044744,
