vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.strat,VS1rightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
0,0,0,0,0,1115.4478227017994,VS1rightbutton,0,1,2,3,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,0,1,1,1,1121.6160515130778,VS1leftbutton,1,0,2,1,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
2,0,2,2,2,1126.5575151201933,VS1rightbutton,0,1,1,2,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
3,0,3,3,3,1134.0357594614893,VS1leftbutton,1,0,3,1,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
4,0,4,4,4,1137.4098371962687,VS1rightbutton,0,1,1,2,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
5,0,5,5,5,1143.7090567816067,VS1rightbutton,0,1,1,3,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
6,0,6,6,6,1147.7241072004294,VS1rightbutton,0,1,1,3,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
7,0,7,7,7,1151.8737943063447,VS1rightbutton,0,1,2,3,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
8,0,8,8,8,1155.6096242480003,VS1rightbutton,0,1,2,3,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
