Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.strat,EDrightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
0,0,0,0,0,1434.5795283244333,EDrightbutton,0,1,1.00,2.00,1,2,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
1,0,1,1,1,1442.437373142755,EDleftbutton,1,0,1.50,2.00,1,2,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
2,0,2,2,2,1449.7048503698043,EDrightbutton,0,1,1.25,2.00,1,2,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
3,0,3,3,3,1456.1515193997147,EDleftbutton,1,0,1.38,2.00,1,2,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
4,0,4,4,4,1457.3751378246725,EDleftbutton,1,0,1.32,2.00,1,2,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
5,0,5,5,5,1460.5751910778472,EDrightbutton,0,1,1.29,2.00,1,2,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
0,0,0,0,0,1468.1236901242628,EDleftbutton,1,0,2.00,1.00,2,3,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
1,0,1,1,1,1476.693238290316,EDleftbutton,1,0,2.00,1.50,2,3,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
2,0,2,2,2,1478.6299096781222,EDrightbutton,0,1,2.00,1.75,2,3,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
3,0,3,3,3,1480.3624703057412,EDrightbutton,0,1,2.00,1.62,2,3,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
4,0,4,4,4,1484.0700619308773,EDrightbutton,0,1,2.00,1.56,2,3,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
5,0,5,5,5,1486.28462282476,EDrightbutton,0,1,2.00,1.53,2,3,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
0,0,0,0,0,1492.975365915081,EDrightbutton,0,1,1.00,2.00,1,3,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
1,0,1,1,1,1530.3240414027405,EDrightbutton,0,1,1.50,2.00,1,3,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
2,0,2,2,2,1531.756590000272,EDleftbutton,1,0,1.75,2.00,1,3,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
3,0,3,3,3,1533.0083774302766,EDleftbutton,1,0,1.62,2.00,1,3,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
4,0,4,4,4,1534.0394468085778,EDleftbutton,1,0,1.56,2.00,1,3,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
5,0,5,5,5,1535.2736440089375,EDleftbutton,1,0,1.53,2.00,1,3,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
