Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,EDbufferscreen.started,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
0,0,0,0,0,2329.2496260250336,2329.642532514117,EDleftbutton,1,0,1.00,1.00,1,3,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
1,0,1,1,1,None,2334.2705891561927,EDleftbutton,1,0,1.00,2.00,1,3,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
2,0,2,2,2,None,2344.2979728197097,EDrightbutton,0,1,0.50,2.00,1,3,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
3,0,3,3,3,None,2352.28125614539,EDrightbutton,0,1,0.75,2.00,1,3,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
4,0,4,4,4,None,2354.696994758444,EDrightbutton,0,1,0.88,2.00,1,3,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
5,0,5,5,5,None,2359.1164893219247,EDleftbutton,1,0,0.94,2.00,1,3,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
6,0,6,6,6,None,2360.543792528333,EDleftbutton,1,0,0.91,2.00,1,3,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
0,0,0,0,0,2363.7768779993057,2364.1130099028233,EDrightbutton,0,1,1.00,1.00,2,3,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
1,0,1,1,1,None,2371.79450254346,EDrightbutton,0,1,2.00,1.00,2,3,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
2,0,2,2,2,None,2373.377051168238,EDrightbutton,0,1,2.00,0.50,2,3,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
3,0,3,3,3,None,2378.5605095234932,EDleftbutton,1,0,2.00,0.25,2,3,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
4,0,4,4,4,None,2379.951645506022,EDleftbutton,1,0,2.00,0.38,2,3,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
5,0,5,5,5,None,2382.726955424878,EDleftbutton,1,0,2.00,0.44,2,3,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
6,0,6,6,6,None,2383.9937049012515,EDleftbutton,1,0,2.00,0.47,2,3,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
0,0,0,0,0,2385.6758952863747,2386.0122161423205,EDleftbutton,1,0,1.00,1.00,3,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
1,0,1,1,1,None,2391.560338215204,EDleftbutton,1,0,1.00,2.00,3,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
2,0,2,2,2,None,2393.277161427948,EDleftbutton,1,0,0.50,2.00,3,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
3,0,3,3,3,None,2393.843715824536,EDleftbutton,1,0,0.25,2.00,3,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
4,0,4,4,4,None,2394.243654936319,EDleftbutton,1,0,0.12,2.00,3,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
5,0,5,5,5,None,2394.697364001593,EDleftbutton,1,0,0.06,2.00,3,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
6,0,6,6,6,None,2395.160463584645,EDleftbutton,1,0,0.03,2.00,3,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
0,0,0,0,0,2395.5928107617656,2395.9120004670694,EDleftbutton,1,0,1.00,1.00,1,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
1,0,1,1,1,None,2399.1613522063126,EDleftbutton,1,0,1.00,2.00,1,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
2,0,2,2,2,None,2399.9436767829466,EDleftbutton,1,0,0.50,2.00,1,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
3,0,3,3,3,None,2401.4771552043385,EDleftbutton,1,0,0.25,2.00,1,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
4,0,4,4,4,None,2402.1441777474247,EDleftbutton,1,0,0.12,2.00,1,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
5,0,5,5,5,None,2402.5438746536383,EDleftbutton,1,0,0.06,2.00,1,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
6,0,6,6,6,None,2402.943716241629,EDleftbutton,1,0,0.03,2.00,1,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
0,0,0,0,0,2403.4099263214157,2403.7368130304967,EDleftbutton,1,0,1.00,1.00,2,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
1,0,1,1,1,None,2407.3105719996965,EDleftbutton,1,0,1.00,2.00,2,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
2,0,2,2,2,None,2408.460320474871,EDleftbutton,1,0,0.50,2.00,2,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
3,0,3,3,3,None,2410.0937691578874,EDleftbutton,1,0,0.25,2.00,2,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
4,0,4,4,4,None,2410.693831650133,EDleftbutton,1,0,0.12,2.00,2,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
5,0,5,5,5,None,2410.960692765657,EDleftbutton,1,0,0.06,2.00,2,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
6,0,6,6,6,None,2411.3438119047787,EDleftbutton,1,0,0.03,2.00,2,4,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
