Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,EDbufferscreen.started,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
0,0,0,0,0,2794.123057744049,2794.506944883319,EDrightbutton,0,1,1.00,1.00,1,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
1,0,1,1,1,None,2797.6317179559646,EDrightbutton,0,1,2.00,1.00,1,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
2,0,2,2,2,None,2800.367962525187,EDleftbutton,1,0,2.00,0.50,1,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
3,0,3,3,3,None,2806.9003447659697,EDleftbutton,1,0,2.00,0.75,1,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
4,0,4,4,4,None,2810.849730221511,EDleftbutton,1,0,2.00,0.88,1,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
5,0,5,5,5,None,2813.035591384155,EDleftbutton,1,0,2.00,0.94,1,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
6,0,6,6,6,None,2814.8805743768344,EDleftbutton,1,0,2.00,0.97,1,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
0,0,0,0,0,2817.0637337445587,2817.398062098937,EDrightbutton,0,1,1.00,1.00,3,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
1,0,1,1,1,None,2821.231255936843,EDleftbutton,1,0,2.00,1.00,3,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
2,0,2,2,2,None,2822.897068414567,EDleftbutton,1,0,2.00,1.50,3,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
3,0,3,3,3,None,2824.5638853235305,EDleftbutton,1,0,2.00,1.75,3,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
4,0,4,4,4,None,2825.863812148581,EDleftbutton,1,0,2.00,1.88,3,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
5,0,5,5,5,None,2827.3139420252937,EDrightbutton,0,1,2.00,1.94,3,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
6,0,6,6,6,None,2829.130452873055,EDrightbutton,0,1,2.00,1.91,3,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
0,0,0,0,0,2830.594801338514,2830.920128949595,EDleftbutton,1,0,1.00,1.00,1,2,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
1,0,1,1,1,None,2834.3474664817995,EDrightbutton,0,1,1.00,2.00,1,2,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
2,0,2,2,2,None,2836.297043135365,EDrightbutton,0,1,1.50,2.00,1,2,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
3,0,3,3,3,None,2838.2306438465193,EDrightbutton,0,1,1.75,2.00,1,2,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
4,0,4,4,4,None,2839.280428796861,EDrightbutton,0,1,1.88,2.00,1,2,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
5,0,5,5,5,None,2840.2639318719084,EDrightbutton,0,1,1.94,2.00,1,2,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
6,0,6,6,6,None,2842.997091608556,EDleftbutton,1,0,1.97,2.00,1,2,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
0,0,0,0,0,2844.1970918010375,2844.5238434524463,EDleftbutton,1,0,1.00,1.00,1,3,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
1,0,1,1,1,None,2848.497137322849,EDrightbutton,0,1,1.00,2.00,1,3,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
2,0,2,2,2,None,2849.5805381582813,EDrightbutton,0,1,1.50,2.00,1,3,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
3,0,3,3,3,None,2850.947154918842,EDrightbutton,0,1,1.75,2.00,1,3,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
4,0,4,4,4,None,2851.530792024989,EDrightbutton,0,1,1.88,2.00,1,3,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
5,0,5,5,5,None,2852.3139218147644,EDrightbutton,0,1,1.94,2.00,1,3,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
6,0,6,6,6,None,2853.799318744753,EDleftbutton,1,0,1.97,2.00,1,3,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
0,0,0,0,0,2854.580329636945,2854.9047962153054,EDrightbutton,0,1,1.00,1.00,2,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
1,0,1,1,1,None,2856.547472127915,EDleftbutton,1,0,2.00,1.00,2,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
2,0,2,2,2,None,2857.6305929031523,EDleftbutton,1,0,2.00,1.50,2,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
3,0,3,3,3,None,2858.697352131906,EDleftbutton,1,0,2.00,1.75,2,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
4,0,4,4,4,None,2860.1972368035667,EDrightbutton,0,1,2.00,1.88,2,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
5,0,5,5,5,None,2861.163844196707,EDrightbutton,0,1,2.00,1.81,2,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
6,0,6,6,6,None,2862.113799717502,EDleftbutton,1,0,2.00,1.78,2,4,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
0,0,0,0,0,2862.646859492228,2862.9726128076372,EDleftbutton,1,0,1.00,1.00,2,3,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
1,0,1,1,1,None,2864.8305536369808,EDrightbutton,0,1,1.00,2.00,2,3,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
2,0,2,2,2,None,2866.297080348404,EDrightbutton,0,1,1.50,2.00,2,3,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
