Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,EDbufferscreen.started,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
4,0,4,4,4,462.51488749999953,462.85292560000016,EDrightbutton,0,1,2.00,0.12,1,2,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
5,0,5,5,5,463.1071260000008,463.43423690000054,EDrightbutton,0,1,2.00,0.06,1,2,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
6,0,6,6,6,463.62198929999977,463.9537459000003,EDleftbutton,1,0,2.00,0.03,1,2,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
0,0,0,0,0,465.0247448000009,465.23539119999987,EDleftbutton,1,0,1.00,1.00,2,3,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
1,0,1,1,1,466.4515960000008,466.7847528000002,EDrightbutton,0,1,1.00,2.00,2,3,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
2,0,2,2,2,467.48856400000113,467.81897150000077,EDleftbutton,1,0,1.50,2.00,2,3,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
3,0,3,3,3,468.2968238000012,468.63430940000035,EDrightbutton,0,1,1.25,2.00,2,3,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
4,0,4,4,4,469.1520679000005,469.48470520000046,EDrightbutton,0,1,1.38,2.00,2,3,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
5,0,5,5,5,469.7160765999997,470.0513525999995,EDrightbutton,0,1,1.44,2.00,2,3,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
6,0,6,6,6,470.41906910000034,470.7504699000001,EDleftbutton,1,0,1.47,2.00,2,3,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
