Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
0,0,0,0,0,1256.5978553113082,EDrightbutton,0,1,1.00,1.00,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
1,0,1,1,1,1265.391641956904,EDrightbutton,0,1,2.00,1.00,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
2,0,2,2,2,1267.538173976618,EDleftbutton,1,0,2.00,0.50,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
3,0,3,3,3,1271.121470979142,EDleftbutton,1,0,2.00,0.75,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
4,0,4,4,4,1273.6376543097003,EDleftbutton,1,0,2.00,0.88,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
5,0,5,5,5,1276.8728681514021,EDrightbutton,0,1,2.00,0.94,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
6,0,6,6,6,1279.66954137205,EDrightbutton,0,1,2.00,0.91,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
0,0,0,0,0,1281.5137269507877,EDrightbutton,0,1,1.00,1.00,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
1,0,1,1,1,1285.4639763581872,EDrightbutton,0,1,2.00,1.00,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
2,0,2,2,2,1286.4526854162514,EDrightbutton,0,1,2.00,0.50,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
3,0,3,3,3,1287.052955403089,EDrightbutton,0,1,2.00,0.25,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
4,0,4,4,4,1290.3697635914923,EDrightbutton,0,1,2.00,0.12,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
5,0,5,5,5,1290.9386537037053,EDrightbutton,0,1,2.00,0.06,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
6,0,6,6,6,1291.4047582613694,EDrightbutton,0,1,2.00,0.03,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
0,0,0,0,0,1292.3066977972785,EDrightbutton,0,1,1.00,1.00,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
1,0,1,1,1,1295.6196416065886,EDrightbutton,0,1,2.00,1.00,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
2,0,2,2,2,1297.5191164218786,EDrightbutton,0,1,2.00,0.50,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
3,0,3,3,3,1298.6528141219542,EDleftbutton,1,0,2.00,0.25,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
4,0,4,4,4,1299.6639507581995,EDleftbutton,1,0,2.00,0.38,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
5,0,5,5,5,1300.152556999271,EDrightbutton,0,1,2.00,0.44,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
6,0,6,6,6,1301.4473613887385,EDrightbutton,0,1,2.00,0.41,E12K08,2021_Oct_14_1331,ER_paradigm,2021.1.4,60.02628518174762,
