Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
0,0,0,0,0,1193.8107136337785,EDrightbutton,0,1,1.00,1.00,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,0,1,1,1,1202.8542182423407,EDrightbutton,0,1,2.00,1.00,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
2,0,2,2,2,1218.307324520545,EDrightbutton,0,1,2.00,0.50,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
3,0,3,3,3,1219.5329994639615,EDrightbutton,0,1,2.00,0.25,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
4,0,4,4,4,1223.1492043948965,EDleftbutton,1,0,2.00,0.12,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
5,0,5,5,5,1229.0403816004982,EDleftbutton,1,0,2.00,0.19,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
6,0,6,6,6,1230.682632129523,EDleftbutton,1,0,2.00,0.22,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
0,0,0,0,0,1232.3938291157829,EDleftbutton,1,0,1.00,1.00,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,0,1,1,1,1235.6491035026265,EDleftbutton,1,0,1.00,2.00,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
2,0,2,2,2,1237.9993061051937,EDleftbutton,1,0,0.50,2.00,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
3,0,3,3,3,1238.716060666251,EDleftbutton,1,0,0.25,2.00,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
4,0,4,4,4,1239.1495053071994,EDleftbutton,1,0,0.12,2.00,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
5,0,5,5,5,1239.6186237784568,EDleftbutton,1,0,0.06,2.00,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
6,0,6,6,6,1240.2166947314981,EDleftbutton,1,0,0.03,2.00,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
0,0,0,0,0,1241.2362524288474,EDleftbutton,1,0,1.00,1.00,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
1,0,1,1,1,1244.949174046982,EDleftbutton,1,0,1.00,2.00,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
2,0,2,2,2,1246.0829866799759,EDleftbutton,1,0,0.50,2.00,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
3,0,3,3,3,1246.7164783505723,EDleftbutton,1,0,0.25,2.00,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
4,0,4,4,4,1247.2488641201053,EDleftbutton,1,0,0.12,2.00,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
5,0,5,5,5,1249.2492593482602,EDleftbutton,1,0,0.06,2.00,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
6,0,6,6,6,1249.7489082304528,EDleftbutton,1,0,0.03,2.00,C02N10,2021_Oct_08_1401,ER_paradigm,2021.1.4,60.07228665887701,
