Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
0,0,0,0,0,1218.0656171523733,EDrightbutton,0,1,1.00,1.00,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
1,0,1,1,1,1225.9143291966757,EDleftbutton,1,0,2.00,1.00,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
2,0,2,2,2,1229.4436447208282,EDleftbutton,1,0,2.00,1.50,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
3,0,3,3,3,1231.3269664838444,EDleftbutton,1,0,2.00,1.75,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
4,0,4,4,4,1232.377061954583,EDleftbutton,1,0,2.00,1.88,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
5,0,5,5,5,1233.0117262738058,EDleftbutton,1,0,2.00,1.94,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
6,0,6,6,6,1235.1914446610026,EDleftbutton,1,0,2.00,1.97,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
0,0,0,0,0,1236.7018588548526,EDrightbutton,0,1,1.00,1.00,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
1,0,1,1,1,1240.8862785946112,EDleftbutton,1,0,2.00,1.00,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
2,0,2,2,2,1242.0917586619034,EDleftbutton,1,0,2.00,1.50,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
3,0,3,3,3,1243.2082707234658,EDleftbutton,1,0,2.00,1.75,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
4,0,4,4,4,1245.0079998383299,EDleftbutton,1,0,2.00,1.88,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
5,0,5,5,5,1247.3082772037014,EDleftbutton,1,0,2.00,1.94,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
6,0,6,6,6,1247.775206371909,EDleftbutton,1,0,2.00,1.97,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
0,0,0,0,0,1248.8240321084158,EDleftbutton,1,0,1.00,1.00,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
1,0,1,1,1,1251.6750930646667,EDrightbutton,0,1,1.00,2.00,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
2,0,2,2,2,1252.93623259163,EDrightbutton,0,1,1.50,2.00,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
3,0,3,3,3,1253.6585845961235,EDrightbutton,0,1,1.75,2.00,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
4,0,4,4,4,1253.891140348278,EDrightbutton,0,1,1.88,2.00,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
5,0,5,5,5,1254.1082645640709,EDrightbutton,0,1,1.94,2.00,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
6,0,6,6,6,1254.575090434053,EDrightbutton,0,1,1.97,2.00,T07L11,2021_Nov_02_1155,ER,2021.1.4,60.04083378142729,
