Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
0,0,0,0,0,1226.287894317531,EDleftbutton,1,0,1.00,1.00,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
1,0,1,1,1,1236.2045695657143,EDrightbutton,0,1,1.00,2.00,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
2,0,2,2,2,1237.9837908449117,EDrightbutton,0,1,1.50,2.00,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
3,0,3,3,3,1238.7503016339615,EDleftbutton,1,0,1.75,2.00,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
4,0,4,4,4,1242.1183158928761,EDrightbutton,0,1,1.62,2.00,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
5,0,5,5,5,1243.2039751198608,EDrightbutton,0,1,1.69,2.00,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
6,0,6,6,6,1244.2327449506847,EDleftbutton,1,0,1.72,2.00,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
0,0,0,0,0,1246.9074082450243,EDleftbutton,1,0,1.00,1.00,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
1,0,1,1,1,1259.2494090027176,EDrightbutton,0,1,1.00,2.00,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
2,0,2,2,2,1260.2327513666824,EDrightbutton,0,1,1.50,2.00,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
3,0,3,3,3,1261.3162188753486,EDleftbutton,1,0,1.75,2.00,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
4,0,4,4,4,1264.4828507350758,EDrightbutton,0,1,1.62,2.00,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
5,0,5,5,5,1265.3328229375184,EDrightbutton,0,1,1.69,2.00,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
6,0,6,6,6,1267.0827527621295,EDrightbutton,0,1,1.72,2.00,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
0,0,0,0,0,1271.0390021265484,EDrightbutton,0,1,1.00,1.00,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
1,0,1,1,1,1274.2161097706994,EDleftbutton,1,0,2.00,1.00,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
2,0,2,2,2,1275.315838404349,EDleftbutton,1,0,2.00,1.50,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
3,0,3,3,3,1277.216441800585,EDleftbutton,1,0,2.00,1.75,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
4,0,4,4,4,1279.4222743632272,EDrightbutton,0,1,2.00,1.88,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
5,0,5,5,5,1281.2159195351414,EDleftbutton,1,0,2.00,1.81,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
6,0,6,6,6,1282.3012088775868,EDleftbutton,1,0,2.00,1.84,F07I10,2021_Oct_21_1450,ER,2021.1.4,59.97154555397503,
